'Name of school','URL','Street','Address','ZIP-Code','City','Region','Country','Country-Code','Latitude','Longitude'
'Colegio Rudolf Steiner',,'Calle Antupiren 9591','Santiago, Peñalolén ',7910000,'Peñalolén','Santiago Metropolitan','Chile','CL','-33.4834047','-70.5327775'
'Colegio Waldorf San Francisco de Limache','www.waldorflimache.com','Riquelme 011','Limache, Valparaíso ',2240000,'Limache','Valparaíso','Chile','CL','-32.9836892','-71.2730072'
'Jardin de Niños Rayén',,'Las Acacias 919','Laguna de Zappallar,  ',2060000,'Zapallar','Valparaíso','Chile','CL','-32.63001','-71.42513'
'Kindergarten Waldorf Pucon','www.waldorfpucon.org','Ramon Quezada','Pucon,  520',4920000,'Pucón','Araucanía','Chile','CL','-39.2679052','-71.9746381'
'Sophia Waldorf Kindergarten','www.waldorfsphia.cl','Simon Bolivar 8840-La Reina','Santiago,  7850000',7850000,'La Reina','Santiago Metropolitan','Chile','CL','-33.4443606','-70.540168'
'Brooks Natural kindergarten','blog.sina.com.cn/aolinchuntianmmh','Building #14, Unit 3, Room 102','Beijing,  ',,,'Beijing','China','CN','40.1860618591309','116.4189453125'
'Cai Hong Zhi Le Yuan (Rainbow Happy Children Kgtn)','blog.sina.com.cn/caihongzhileyuan','Room102, Unit6, Building 6','Beijing,  ',,,'Beijing','China','CN','40.1860618591309','116.4189453125'
'Chengdu Waldorf School Kindergarten','www.waldorfchina.org.cn','Huang Jinglou cun Jinjiang Qu','Chengdu, 四川省 (Sichuan) 610063',,'Chengdu','Sichuan','China','CN','30.5701999664307','104.064758300781'
'China Waldorf Early Childhood Education Forum (CECEF)',,'Chengdu Waldorf School Chengdu Liulichange Huanglinglou cun','Chengdu, 四川省 (Sichuan) 610061',,'Chengdu','Sichuan','China','CN','30.5701999664307','104.064758300781'
'Free Children''s Home',,'No. 113-2 Liang Ma Garden','Shenyang, Yuhoong District,  ',,'Yuhong District','Liaoning','China','CN','41.7940711975098','123.308128356934'
'Fu Yuan (Happiness Children’s Home)',,'Room 1033, No 5777','Shanghai,  ',46278,'Indianapolis','IN','United States','CN','39.873045','-86.2788'
'Fun For Kids','www.nxlzart.com/bbs/dispbbs.asp?boardid=30&Id=1863','Area B, Baofuqiao Village','Yinchuan City, Ningxia ',,'Yinchuan','Ningxia Hui','China','CN','38.4864387512207','106.232482910156'
'Gen Wawa (Root babies kindergarten)','blog.sina.com.cn/aileyuanwaldorf','Building 20, part 2, room 102, yi cheng tian zhu','Beijing,  ',,,'Beijing','China','CN','40.1860618591309','116.4189453125'
'Grassland Kindergarten','blog.sina.com.cn/qingcaopohuadefu','NO.3 Building of Wenyuan Garden','Qingdao City, Shandong Province ',,'Qingdao','Shandong','China','CN','36.0662307739258','120.382987976074'
'Jie Zi Yuan (Mustard Seed Kindergarten)','blog.sina.com.cn/s/indexlist_1645573562_2.html','Dongzhao Village Crossroads','None,  ',,,'Corrientes','Argentina','CN','-28.7773418426514','-57.8062591552734'
'Jin Yuan Kindergarten (The source of Beauty)','www.xici.net/#b1288155/','Room 101,Building 5 in Lanbaowan','Nanjing,  ',,'Nanjing','Jiangsu','China','CN','32.0583801269531','118.79647064209'
'Lezhi kindergarten (Happy to Learn)','blog.sina.com.cn/lezhiedu','Lezhi school, qiliqu farm','Beijing,  ',,'Lezhi County','Sichuan','China','CN','30.275899887085','105.021331787109'
'Lian Zi Yuan (Lotus Seed Kindergarten)','blog.sina.com.cn/lianzidu','4601 room, 53 building, shiji community','Zhengzhou, 河南省 (Henan) ',,'Zhengzhou','Henan','China','CN','34.7472496032715','113.624931335449'
'Little Forest Children''s House','blog.sins.com.cn/xsletzj','Zhujia Group, longmen Chi Village, Bailu Town','Chenzhou, 湖南省 (Hunan) ',,'Chenzhou','Hunan','China','CN','25.7706298828125','113.014846801758'
'Lotus Heart',,'NO. H1-5, Shnxiang Huahui Center','Shenzhen, Guangdong ',,'Shenzhen','Guangdong','China','CN','22.5428600311279','114.059562683105'
'Man Yuan Kindergarten','blog.sina.com.cn/hzmlgyyejy','No. 1 Shang Bao Zu, Shuang Lin Sun','Zhejiang,  ',,,'Zhejiang','China','CN','29.2472038269043','120.442726135254'
'Many Many Flowers Kindergarten','blog.sina.com.cn/manymanyflowers','Room 101, unit 2 building 5, Rose Yuyuan community','Beijing,  ',,,'Beijing','China','CN','40.1860618591309','116.4189453125'
'Nanshan Waldorf kindergarten','blog.sina.com.cn/beijingwaldorf','Guoyuan Man di Art area, xinzhuang Village','Beijing,  ',,,'Beijing','China','CN','40.1860618591309','116.4189453125'
'Naxi Kindergaten',,'No7 24th building, Banshan huafu Villa, Beibing rd','Chongqing, 四川省 (Sichuan) ',,'Chongqing','Chongqing','China','CN','29.5647106170654','106.550727844238'
'Pu Gong Ying Er Tong Zhi Jia',,'(Dandelion Children’s Home)','Pu yang City,  ',,'Fall River','MA','United States','CN','41.7147216796875','-71.1441650390625'
'Red Maple Children''s Home','blog.sina.com.cn/waldorfkids','Room 1-101, North 20 Building','Beijiing,  ',,,'Beijing','China','CN','40.1860618591309','116.4189453125'
'Sen Lin Xiao Wu (Little House In The Forest)','blog.sina.com.cn/fzhuadefu','NO. 10 Gusong Building','Fuzhou City, Fuzhou Province ',,'Fuzhou','Fujian','China','CN','26.0742092132568','119.29647064209'
'Shan Shui Tao Yuan School Kindergarten','blog.sina.com.cn/s/articlelist_3032006522_0_1.html','Building 12A, Xi Six Road, Zhengyuan Bi Guiyuan','Foshan, Guangdong ',,'Foshan','Guangdong','China','CN','23.0218505859375','113.121917724609'
'Shanghai Waldorf Xin Zhi Jia','blog.sina.com.cn/shanghaiwaldorf','Room 101 Building 2, 888 Nong','Shang Hai,  ',,,'Shanghai','China','CN','31.2026710510254','121.511947631836'
'Star Heart Kindergarten','blog.sina.com.cn/waldorfxinjiang','Gelinxiaozhen T-F-07, No, 299 Guanyuan Road','Urumqi, Xinjiang Uygur ',,'Ürümqi','Xinjiang Uygur','China','CN','43.8266296386719','87.6168823242188'
'Sunstone Kindergarten','blog.sina.com.cn/sunstonewaldorf','Rm 101 & 102 Unit 6 Building 10','Beijing,  ',,,'Beijing','China','CN','40.1860618591309','116.4189453125'
'Suzhou Waldorf kindergarten','blog.sina.com.cn/waldorfsz','Room 103, Building 43','Su zhou City, Jiangsu Province ',,,'Jiangsu','China','CN','31.3785934448242','120.656455993652'
'Tong xin yuan (Sweet Olive Kindergarten)','blog.sina.com.cn/u/2048092004','174#, East Area, Huposhanzhuang','Hefei, 安徽省 (Anhui) ',,'Hefei','Anhui','China','CN','31.8205699920654','117.229011535645'
'Tong Xueyuan Kindergarten',,'Ma Tian Road','Nan Jing City, Jiang Su Province ',,'Nanjing','Jiangsu','China','CN','32.0583801269531','118.79647064209'
'Waldorf Children’s Home','blog.sina.com.cn/u/3751647650','N0.36 Wutongyuan Villa No. 888 Changjiang Road','Qingdao City, Shandong Province ',,'Qingdao','Shandong','China','CN','36.0662307739258','120.382987976074'
'Waldorf Early Childhood Teacher Training at the Guangzhou Ziran Tong Nian Training Center','blog.sina.com.cn/zirantognian','7th Floor, Nong ke base, Jin shan dadao','Guangzhou city, Guangdong ',,'Guangzhou','Guangdong','China','CN','23.1290798187256','113.264358520508'
'Waldorf Early Childhood Teacher Training Program at the Beijing Heguang training center',,'502 No.2,Beiqing road','Beijing,  ',,,'Beijing','China','CN','40.1860618591309','116.4189453125'
'Waldorf Early Childhood Teacher Training Program at the East China','blog.sina.com.cn/u/2350037060','Ma Tian Road, Jiang Ning district','Nan Jing city, 江苏省 (Jiangsu) ',,'Nanjing','Jiangsu','China','CN','32.0583801269531','118.79647064209'
'Waldorf Early Childhood Teacher Training Program at the Xi’an','blog.sina.com.cn/u/3918479203','101 room, unit 1, 16th building','Xi’an, Shananxi ',,'Xi''an','Shaanxi','China','CN','34.3412704467773','108.939842224121'
'Waldorf Early Childhood Teacher Training Program Hong Kong',,'Unit B, 19/F, The Lamma City, 761 Nathan Road','Hong Kong,  ',,,'Kowloon','Hong Kong SAR','CN','22.3106002807617','114.169998168945'
'Waldorf Early Childhood Training Program at the Chengdu Waldorf School Training Center','www.chinawaldorf.org','Huang Jing Lou Cun, Jin Jiang Qu,','Chengdu, 四川省 (Sichuan) ',,'Chengdu','Sichuan','China','CN','30.5701999664307','104.064758300781'
'Wen Xin Jia Xue Yuan (Warm Home Kindergarten)','blog.sina.com.cn/homeacademy','Beiqijia wangfu jiating FARM Yayuan 11#','Beijing,  ',,,'Beijing','China','CN','40.1860618591309','116.4189453125'
'Wutong Mountain Grow Together Kindergarten','blog.sina.com.cn/wutongxueyuan','No. 193 Kengbei Village','Shenzhen, Guangdong ',,'Shenzhen','Guangdong','China','CN','22.5428600311279','114.059562683105'
'Xi''an Waldorf Children''s Garden','blog.sina.com.cn/xianwaldorf','No 6 Gujiang','Xi''an Shanix,  ',,'Xi''an','Shaanxi','China','CN','34.3412704467773','108.939842224121'
'Xiao Hua yuan (Children''s Little Garden)','blog.sina.com.cn/waldorfgarden','BinFenSiJi Dates farm','Beijing,  ',,,'Beijing','China','CN','40.1860618591309','116.4189453125'
'Xiao Song shu (Little Pine Tree Kindergarten)','blog.sina.com.cn/77xiaozhu','16 Building, Yongmei Yuan','Shenzhen, Guangdong ',,'Shenzhen','Guangdong','China','CN','22.5428600311279','114.059562683105'
'Yuling Children''s Home','blog.sina.com.cn/u/1768170815','Rm 1A, Suite Meiguangge, Meichenyuan Garden','Shenzhen, Guangdong ',,'Shenzhen','Guangdong','China','CN','22.5428600311279','114.059562683105'
'Zhong sheng Academy (Mian yang)','blog.sina.com.cn/waldorfmianyang','Tenglong Mountain Villa, PO Box 280','Mianyang city, Si Chuan Province ',,'Mianyang','Sichuan','China','CN','31.4675102233887','104.67960357666'
'Zhu xin Yuan (Bamboo Heart Kindergarten)','blog.sina.com.cn/u/2534377222','157. Fansaier dadao, Mindu villa','Fuzhou city, 福建省 (Fujian) ',,'Fuzhou','Fujian','China','CN','26.0742092132568','119.29647064209'
'Zhuhai Chuntong Waldorf School Kindergarten','www.chuntong-Waldorf.com','No. 2428, Lvyou Rd.','Zhuhai, Guangdong 519000',,'Zhuhai','Guangdong','China','CN','22.2707290649414','113.576683044434'
'Zi Ran Gu (Nature Valley Kindergarten)','blog.sina.com.cn/tzwaldorf','No.1 Shamen Road, Fengshan Village','Taizhou City, 浙江省 (Zhejiang) ',,'Taizhou','Zhejiang','China','CN','28.6561107635498','121.420562744141'
'Centro Humanistico Micael','www.centrohumanisticomicael.amawebs.com','Calle 44 FF #77 A-35','El Velodromo,  ',,'Laureles-Estadio','AN','Colombia','CO','6.25356006622314','-75.5945587158203'
'Colegio Luis Horàcio Gómez','www.colegiowaldorfcali.edu.co','Calle 18 No 127-249','Cali,  ',760031,'Cali','Valle del Cauca department','Colombia','CO','3.33253','-76.53261'
'Colegio Rudolf Steiner','www.colegiorudolfsteiner.edu.co','Carrera 62, No 83 A sur-277','La Estrella, Antioquia ',55460,'La Estrella','Antioquia','Colombia','CO','6.1543006','-75.6463475'
'Colegio Waldorf Isolda Echavarria','www.waldorfisolda.edu.co','Calle 81 No. 65-100 South (Portería Auditorium)','La Estrella, Antioquia ',55467,'La Estrella','Antioquia','Colombia','CO','6.1591287','-75.6483223'
'Asociace Waldorfských materských skol','www.awms.cz','Waldorfska materskn skola Konevova 240 a/2497','Praha 3,  13000','130 00','Prague','Prague','Czech Republic','CZ','50.09135','14.49524'
'Kindergartenseminar für Waldorfpädagogik des erste Jahrsiebts',,'Konevova 2497','Praha,  13000','130 00','Prague','Prague','Czech Republic','CZ','50.09135','14.49524'
'Materska Skola',,'Revolucni 440','Rovensko pod Troskani,  51263','512 63','Rovensko pod Troskami','Liberec','Czech Republic','CZ','50.5386499','15.25691'
'Waldorfska materska skola','www.wmsdusikova.cz','WMŠ Praha 6','Praha 6,  16200','162 00','Prague','Prague','Czech Republic','CZ','50.09369','14.38916'
'Waldorfska Materska Skola','www.waldorfskaskolka.cz','Konevova 240a/2497','Praha 3 - Zizkov,  13000','130 00','Prague','Prague','Czech Republic','CZ','50.09135','14.49524'
'Waldorfska Materska Skola',,'ul. PodVartou 609','Semily,  51301','513 01','Semily','Liberec','Czech Republic','CZ','50.59981','15.33144'
'Waldorfská Materska Skola','www.waldorfturnov.cz','Hruborohozecká 323','Turnov,  51101','511 01','Turnov','Liberec','Czech Republic','CZ','50.59384','15.14812'
'Waldorfská základní škola a materská škola','www.waldorf-brno.cz','Plovdivská 8','Brno,  61600','616 00','Brno','South Moravia','Czech Republic','CZ','49.2172399','16.5809399'
'Základní škola Svobodná a Materská škola Písek','www.zssvobodna.cz','Dr. Milady Horákové 1720','Pisek,  39701','397 01','Písek','South Bohemia','Czech Republic','CZ','49.325008392334','14.2012701034546'
'"alegria"Integrative.Waldorfkindergarten','www.waldorfkindergarten-solingen.de','Weyerstr. 186','Solingen, Nordrhein-Westfalen 42719',42719,'Solingen','NW','Germany','DE','51.17489','7.02203'
'"Fingerhütchen"-Integrativer Waldorfkindergarten','fingerhuetchen-wiesbaden.de','Erich-Ollenhauer-Str. 153','Wiesbaden, Hessen 65187',65187,'Wiesbaden','HE','Germany','DE','50.0604','8.22077'
'"Sonnenblume" Waldorfkindergarten','www.waldorfkindergarten-sonnenblume.de','Zechenweg 6','Freiburg, Baden-Württemberg 79111',79111,'Freiburg','BW','Germany','DE','47.97369','7.80119'
'Alanus Hochschule für Kunst und Gesellschaft','www.alanus.edu','Villestraße 3','Alfter bei Bonn,  53347',53347,'Alfter','NW','Germany','DE','50.74547','7.02746'
'Allerleirauh Kindergarten',,'Rosenstraße 36','Stuttgart, Baden-Württemberg 70182',70182,'Stuttgart','BW','Germany','DE','48.7742','9.18394'
'Bauernhofkindergarten Aschwarden','www.bauernhofkindergarten-aschwarden.de','Auf der Wurth 25','Schwanewede OT Aschwarden, Niedersachsen 28790',28790,'Schwanewede','NI','Germany','DE','53.28609','8.53614'
'Blankeneser Waldorfkindergarten',,'Schenefelder Landstr. 34','Hamburg, Hamburg 22587',22587,'Hamburg','HH','Germany','DE','53.56346','9.82614'
'Christian Morgenstern-Kindergarten','www.waldorfkindergarten-willich.de','Bahnstr. 8','Willich, Nordrhein-Westfalen 47877',47877,'Willich','NW','Germany','DE','51.2635999','6.54849'
'Christopherus-Kindertagestätte,intergrativ arbeitend','www.christopherus-haus.de','Mergelteichstr. 43 a','Dortmund, Nordrhein-Westfalen 44225',44225,'Dortmund','NW','Germany','DE','51.47342','7.46262'
'Christophorus integrativer Waldorfkindergarten',,'Jürgen Wullenwever Str. 3','Lübeck, Schleswig-Holstein 23566',23566,'Lübeck','SH','Germany','DE','53.86569','10.70994'
'Christophorus Kindergarten','www.christophorus-kindergarten.com','Morfstraße 8','Wangen, Baden-Württemberg 88239',88239,'Wangen im Allgäu','BW','Germany','DE','47.67871','9.82191'
'Dorothea Schiller Kindergarten','www.waldorfkindergarten-marbach.de','Panoramastr. 11','Marbach, Baden-Württemberg 71672',71672,'Marbach am Neckar','BW','Germany','DE','48.94342','9.25592'
'Familienzentrum Waldorfkindergarten Witten','www.waldorf-familienzentrum.de','Billerbeckstr. 40','Witten, Nordrhein-Westfalen 58455',58455,'Witten','NW','Germany','DE','51.43909','7.31857'
'Fernstudium Waldorfpädagogik Seminar für pädagogische Praxis Jena','www.waldorf-fernstudium.de','Alte Hauptstr. 15','Jena,  7745',7745,'Jena','TH','Germany','DE','50.8783699','11.59003'
'Freie Fachschule für Sozialpädagogik Akademie für Erziehungskunst e.V.','www.waldorfkindergartenseminar.de','Heubergstr. 11','Stuttgart, Baden-Wurttemberg 70188',70188,'Stuttgart','BW','Germany','DE','48.78323','9.20083'
'Freie Fachschule für Sozialpädagogik Berlin','www.freie-fachschule-berlin.info','Besselstr. 13/14','Berlin,  10969',10969,'Berlin','BE','Germany','DE','52.50483','13.39401'
'Freie Fachschule für Sozialpädagogik Mannheim','www.erzieherfachschule-ma.de','Zielstr. 26','Mannheim, Baden-Wurttemberg 68169',68169,'Mannheim','BW','Germany','DE','49.5056299','8.49901'
'Freie Waldorfkindertagesstätte','www.waldorf-greifswald.de','Hans-Beimler-Str. 79-83','Greifswald, Mecklenburg-Vorpommern 17491',17491,'Greifswald','MV','Germany','DE','54.07927','13.39797'
'Freie Waldorfkindertagesstätte Kaltental','www.waldorfkita-kaltental.de','Alpirsbacher Weg 6','Stuttgart, Baden-Württemberg 70569',70569,'Stuttgart','BW','Germany','DE','48.74279','9.12408'
'Freier Kindergarten Deggendorf','www.freier-kindergarten-deggendorf.de','Am Stadtpark 23','Deggendorf, Bayern 94469',94469,'Deggendorf','BY','Germany','DE','48.84619','12.95803'
'Freier Kindergarten Gänseblümchen',,'Albrecht-Dürer-Str. 2','Leutkirch, Baden-Württemberg 88299',88299,'Leutkirch im Allgäu','BW','Germany','DE',47836,'10.02937'
'Freier Kindergartren in den Walddörfern','www.kindergarten-in-den-walddoerfern.de','Meiendorfer Weg 77','Hamburg, Hamburg 22145',22145,'Hamburg','HH','Germany','DE','53.63568','10.16264'
'Freier Waldorfkindergarten','www.waldorfkindergartenrheine.de','Bauerschaftsstr. 207','Rheine, Nordrhein-Westfalen 48432',48432,'Rheine','NW','Germany','DE','52.24348','7.42475'
'Freier Waldorfkindergarten Aalen','www.waldorfkindergarten-aalen.de','Zeppelinstr. 67','Aalen, Baden-Württemberg 73430',73430,'Aalen','BW','Germany','DE','48.84595','10.08545'
'Freier Waldorfkindergarten Calw','www.waldorfkindergarten-calw.de','Schützenstrasse 30','Calw, Baden-Württemberg 75365',75365,'Calw','BW','Germany','DE','48.7069199','8.75424'
'Freier Waldorfkindergarten Kiel','www.waldorfschule-kiel.de','Hofholzallee 20','Kiel, Schleswig-Holstein 24109',24109,'Kiel','SH','Germany','DE','54.3198949','10.0896664'
'Freier Waldorfkindergarten Konstanz',,'Mannheimer Str. 2','Konstanz, Baden-Württemberg 78467',78467,'Constance','BW','Germany','DE','47.68517','9.14456'
'Freier Waldorfkindergarten Magdeburg','www.waldorfkindergarten-magdeburg.de','Astonstr. 64','Magdeburg, Sachsen-Anhalt 39116',39116,'Magdeburg','ST','Germany','DE','52.10888','11.58329'
'Freier Waldorfkindergarten Magdeburg "Tomte"',,'Hesekielstraße 1','Magdeburg, Sachsen-Anhalt 39112',39112,'Magdeburg','ST','Germany','DE','52.11033','11.59757'
'Freier Waldorfkindergarten Michael','www.waldorfkindergarten-michael.de','Heuerstraße 14','Hannover, Niedersachsen 30519',30519,'Hanover','NI','Germany','DE','52.34238','9.7578099'
'Freier Waldorfkindergarten Raphael','www.waldorfkindergarten-bothfeld.de','Im Wiesenkampe 15','Hannover, Niedersachsen 30659',30659,'Hanover','NI','Germany','DE','52.41348','9.81065'
'Freier Waldorfkindergarten Rastatt','www.waldorfkindergarten-rastatt.de','Ludwig-Wilhelm-Str. 14','Rastatt, Baden-Württemberg 76437',76437,'Rastatt','BW','Germany','DE','48.86281','8.21205'
'Freier Waldorfkindergarten Schwetzingen','www.waldorfkindergarten-schwetzingen.de','Marstallstr. 51','Schwetzingen, Baden-Württemberg 68723',68723,'Schwetzingen','BW','Germany','DE','49.3801548','8.5775005'
'Ganztagskindergarten Fellbach','www.waldorfkindergarten-fellbach.de','Täschenstraße 19','Fellbach, Baden-Württemberg 70736',70736,'Fellbach','BW','Germany','DE','48.81528','9.26688'
'Gründungsinitiative Waldorfkindergarten Bargteheide','www.waldorfkindergarten-bargteheide.de','Jersbeker Str. 7','Bargteheide, Schleswig-Holstein 22941',22941,'Bargteheide','SH','Germany','DE','53.72867','10.25775'
'Hauser-Kindergarten','www.waldorfkindergarten-erdmannhausen.de','Robert-Bosch-Str. 26','Erdmannhausen, Baden-Württemberg 71729',71729,'Erdmannhausen','BW','Germany','DE','48.94582','9.28452'
'Heilpäd. Kindergarten an der Karl-Schubert- Schule','www.karl-schubert-schule.de','Obere Weinsteige 40','Stuttgart, Baden-Württemberg 70597',70597,'Stuttgart','BW','Germany','DE','48.75332','9.1725999'
'Heilpädagogische Kindertagesstätte Wernhalde','www.wernhalde.de','Wernhaldenstr. 66','Stuttgart, Baden-Württemberg 70184',70184,'Stuttgart','BW','Germany','DE','48.76258','9.18384'
'Hibernia-Kindergarten','www.hibernia-kindergarten.de','Holsterhauser Str. 70 e','Herne, Nordrhein-Westfalen 44652',44652,'Herne','NW','Germany','DE','51.52378','7.18773'
'Idsteiner Waldorfkindergarten','www.waldorfkindergarten-idstein.de','Limburger Straße 79','Idstein, Hessen 65510',65510,'Idstein','HE','Germany','DE','50.22459','8.2658'
'Integr.Waldorf Kindergarten Troxler Haus',,'Hatzfelder Str. 191 a','Wuppertal, Nordrhein-Westfalen 42281',42281,'Wuppertal','NW','Germany','DE','51.29334','7.1882'
'Integra. Waldorfkindergarten Haus Sonne',,'Oben am Dorf 60','Gersheim-Walsheim, Saarland 66453',66453,'Gersheim','SL','Germany','DE','49.15705','7.22821'
'Integrativer  Waldorfkindergarten',,'Burgstr. 16','Neustadt, Schleswig-Holstein 23730',23730,'Neustadt in Holstein','SH','Germany','DE','54.10787','10.81215'
'Integrativer Kindergarten Wuppertal-West','www.waldorf-kita.de','Bahnstr. 229','Wuppertal, Nordrhein-Westfalen 42327',42327,'Wuppertal','NW','Germany','DE','51.25126','7.07185'
'Integrativer Waldorfkindergarten "Kleiner Prinz"','www.waldorf-ashausen.de','Lindenstr. 15','Stelle-Ashausen, Niedersachsen 21435',21435,'Stelle','NI','Germany','DE','53.36291','10.14291'
'Integrativer Waldorfkindergarten "Kleiner Prinz"','www.waldorf-ashausen.de','Lindenstr. 15','Stelle-Ashausen, Niedersachsen 21435',21435,'Stelle','NI','Germany','DE','53.36291','10.14291'
'Integrativer Waldorfkindergarten Bochum','www.integrativer-waldorfkindergarten.de','Baroperstr. 41','Bochum, Nordrhein-Westfalen 44892',44892,'Bochum','NW','Germany','DE','51.46147','7.30709'
'Integrativer Waldorfkindergarten Föhrenbühl','www.foehrenbuehl.de','Föhrenbühlerweg 5','Heiligenberg-Steigen, Baden-Württemberg 88633',88633,'Heiligenberg','BW','Germany','DE','47.82097','9.29832'
'Integrativer Waldorfkindergarten Regensburg','www.waldorfkindergarten-regensburg.de','Heuweg 15','Regensburg, Bayern 93055',93055,'Regensburg','Bavaria','Germany','DE','48.99286','12.14234'
'Integrativer Waldorfkindergarten Würselen','www.waldorfkindergarten-würselen.de','Im Johanniterhof 1','Würselen, Nordrhein-Westfalen 52146',52146,'Würselen','NW','Germany','DE','50.82664','6.13211'
'Integrierte Kindertagesstätte Rosengarten','www.waldorfkindergarten-rosengarten-siegen.de','Kirchweg 12-14','Siegen, Nordrhein-Westfalen 57072',57072,'Siegen','NW','Germany','DE','50.87303','8.01683'
'Intergrativer Waldorfkindergarten "Sonnentor"','www.integrativer-kiga-sonnentor.de','Höhenring 100','Swisttal, Nordrhein-Westfalen 53913',53913,'Swisttal','NW','Germany','DE','50.71585','6.92111'
'Interkultureller Waldorfkindergarten im Reiherstiegviertel','www.waldorfwilhelmsburg.de','Veringstraße 3','Hamburg-Wilhelmsburg, Hamburg 21107',21107,'Hamburg','HH','Germany','DE','53.51802','9.98748'
'Isisgarten Waldorfkindertagesstätte','waldorfkita-isisgarten.de','Am Tiergarten 59','Münster, Nordrhein-Westfalen 48167',48167,'Münster','NW','Germany','DE','51.91909','7.74121'
'Kindergarten  der Waldorfschule Uhlandshöhe','www.waldorfkindergarten-uhlandshoehe.de','Haussmannstr. 44','Stuttgart, Baden-Württemberg 70188',70188,'Stuttgart','BW','Germany','DE','48.78234','9.19279'
'Kindergarten " Am Buchenweg"',,'Buchenweg 2','Winsen, Niedersachsen 21423',21423,'Winsen (Luhe)','NI','Germany','DE','53.34549',10217
'Kindergarten "Christophorus"','www.waldorfkindergarten-strohbach.de','Strohbach 1','Gengenbach-Strohbach, Baden-Württemberg 77723',77723,'Gengenbach','BW','Germany','DE','48.38731','8.0153199'
'Kindergarten "SinnesReich"','waldorf-wismar.de','Scheuerstr. 19','Wismar, Mecklenburg-Vorpommern 23966',23966,'Wismar','MV','Germany','DE','53.89578','11.4629999'
'Kindergarten an der Freien Martinschule',,'Am Südtor 15','Laatzen, Niedersachsen 30880',30880,'Laatzen','NI','Germany','DE','52.29898','9.80419'
'Kindergarten der Freien Waldorfschule','www.waldorfschule-frankfurt.de','Friedlebenstr. 52','Frankfurt, Hessen 60433',60433,'Frankfurt on Main','HE','Germany','DE','50.14756','8.6746'
'Kindergarten der Freien Waldorfschule','www.waldorfsuedost.de','Johanna-Tesch-Str. 32','Berlin, Berlin 12439',12439,'Berlin','BE','Germany','DE','52.45173','13.54189'
'Kindergarten der Freien Waldorfschule Heidenheim','www.waldorfschule-heidenheim.de','Ziegelstr. 50','Heidenheim, Baden-Württemberg 89518',89518,'Heidenheim an der Brenz','BW','Germany','DE','48.68939','10.15105'
'Kindergarten der R.S.Schule Nordheide','www.waldorfkindergarten-kakenstorf.de','Lange Str. 2','Kakenstorf, Niedersachsen 21255',21255,'Kakenstorf','NI','Germany','DE','53.30549','9.75625'
'Kindergarten der Rudolf-Steiner-Schule Nürnberg','www.waldorfschule-nuernberg.de','Steinplattenweg 25','Nürnberg, Bayern 90491',90491,'Nuremberg','BY','Germany','DE','49.46761','11.1170899'
'Kindergarten der Tobias-Schule',,'Heinrich-Heine-Str. 60','Bremen, Bremen 28211',28211,'Bremen','HB','Germany','DE','53.08657','8.86522'
'Kindergarten Emil Molt','www.emil-molt-schule.de/kindergarten.html','Teltower Damm 191','Berlin, Berlin 14165',14167,'Berlin','BE','Germany','DE','52.41717','13.26684'
'Kindergarten Klappermühle','www.waldorfschuleDachsberg.de','Mühleberg 8','Görwihl, Baden-Württemberg 79733',79733,'Görwihl','BW','Germany','DE','47.64244','8.07372'
'Kindergarten Libanonstr. der Waldorfschule Uhlandshöhe','www.waldorfkindergarten-uhlandshoehe.de','Libanonstr. 3','Stuttgart, Baden-Württemberg 70184',70184,'Stuttgart','BW','Germany','DE','48.77844','9.19506'
'Kindergarten Rosenrot',,'Schmiederedder 2','Fleckeby, Schleswig-Holstein 24357',24357,'Fleckeby','SH','Germany','DE','54.48143','9.69711'
'Kindergarten Schwalbennest','www.kiga-schwalbennest.de','Stauffenbergallee 11','Rangsdorf, Brandenburg 15834',15834,'Rangsdorf','BB','Germany','DE','52.28315','13.41848'
'Kindergarten Sonnenblume','www.kindergartensonnenblume.de','Hochsalerstraße 7','Albbruck, Baden-Württemberg 79774',79774,'Albbruck','BW','Germany','DE','47.60287','8.09788'
'Kindergarten Sonnenbühl','www.waldorfkindergarten-rickenbach.de','Bühlmattweg 3','Rickenbach-Altenschwand, Baden-Württemberg 79736',79736,'Rickenbach','BW','Germany','DE','47.63217','7.98832'
'Kindergarten und Krippe der Rudolf Steiner Schule','www.waldorfschule-nuertingen.de','Am Lerchenberg 60-68','Nürtingen, Baden-Württemberg 72622',72622,'Nürtingen','BW','Germany','DE','48.61759','9.33648'
'Kindergarten Westend','www.waldorfkindergarten-westend.de','Oldenburgallee 44','Berlin, Berlin 14052',14052,'Berlin','BE','Germany','DE','52.5116299','13.2576699'
'Kinderhaus Morgenstern','www.kinderhaus-morgenstern.de','Bergstr. 4','Lahnstein, Rheinland-Pfalz 56112',56112,'Lahnstein','RP','Germany','DE','50.31154','7.60548'
'Kinderinsel Erding','www.kinderinsel-erding.de','Pappelstr. 8','Erding, Bayern 85435',85435,'Erding','BY','Germany','DE','48.27863','11.91092'
'Kinderkrippe Sternenwiege',,'Alteneschstrasse 3','Oldenburg, Niedersachsen 26135',26135,'Oldenburg (Oldb.)','NI','Germany','DE','53.1325892','8.2264529'
